play_id,game_id,posteam,defteam,side_of_field,yardline_100,down,yrdln,ydstogo,play_type,yards_gained,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,epa,wp,def_wp,home_wp,away_wp,fumble_forced,fumble_out_of_bounds,safety,penalty,tackled_for_loss,fumble_lost,touchdown,pass_touchdown,rush_touchdown,return_touchdown,field_goal_attempt,fumble,passing_yards,receiving_yards,rushing_yards,fixed_drive_result,drive_time_of_possession,drive_end_transition,qb_epa,description
1495,2024_01_DEN_SEA,DEN,SEA,DEN,64,3,DEN 36,6,pass,0,short,middle,14,,,,3,2,5,3,2,-1.279261705,0.618471742,0.381528258,0.381528258,0.618471742,0,0,0,0,0,0,0,0,0,0,0,0,,,,Punt,1:07,PUNT,-1.279261705,(10:31) (Shotgun) 10-B.Nix pass incomplete short middle to 14-C.Sutton.
1518,2024_01_DEN_SEA,DEN,SEA,DEN,64,4,DEN 36,6,punt,0,,,,,,,3,2,5,3,2,5.724325505,0.590341806,0.409658194,0.409658194,0.590341806,0,0,0,0,0,1,0,0,0,0,0,1,,,,Punt,1:07,PUNT,5.724325505,"(10:26) 9-R.Dixon punts 54 yards to SEA 10, Center-48-M.Fraboni. 33-D.Williams MUFFS catch, touched at SEA 10, RECOVERED by DEN-34-J.Skinner at SEA 9."
1548,2024_01_DEN_SEA,DEN,SEA,SEA,9,1,SEA 9,9,no_play,0,,,,,,,3,2,5,3,2,-0.568645814,0.719427586,0.280572414,0.280572414,0.719427586,0,0,0,1,0,0,0,0,0,0,0,0,,,,Field goal,1:30,FIELD_GOAL,-0.568645814,"(10:15) PENALTY on DEN-10-B.Nix, False Start, 5 yards, enforced at SEA 9 - No Play."
1572,2024_01_DEN_SEA,DEN,SEA,SEA,14,1,SEA 14,14,run,1,,,,,middle,,3,2,5,3,2,-0.469399331,0.704594553,0.295405447,0.295405447,0.704594553,0,0,0,0,0,0,0,0,0,0,0,0,,,1,Field goal,1:30,FIELD_GOAL,-0.469399331,(10:15) (Shotgun) 38-J.McLaughlin up the middle to SEA 13 for 1 yard (21-D.Witherspoon; 53-B.Mafe).
1594,2024_01_DEN_SEA,DEN,SEA,SEA,13,2,SEA 13,13,run,2,,,,,left,guard,3,2,5,3,2,-0.586763734,0.693740904,0.306259096,0.306259096,0.693740904,0,0,0,0,0,0,0,0,0,0,0,0,,,2,Field goal,1:30,FIELD_GOAL,-0.586763734,(9:34) 33-J.Williams left guard to SEA 11 for 2 yards (27-T.Woolen; 20-J.Love).
1616,2024_01_DEN_SEA,DEN,SEA,SEA,11,3,SEA 11,11,pass,0,short,middle,11,,,,3,2,5,3,2,-0.573360247,0.672712564,0.327287436,0.327287436,0.672712564,0,0,0,0,0,0,0,0,0,0,0,0,,,,Field goal,1:30,FIELD_GOAL,-0.573360247,(8:51) (Shotgun) 10-B.Nix pass incomplete short middle to 14-C.Sutton.
1639,2024_01_DEN_SEA,DEN,SEA,SEA,11,4,SEA 11,11,field_goal,0,,,,,,,3,2,8,3,5,0.142660305,0.639726281,0.360273719,0.360273719,0.639726281,0,0,0,0,0,0,0,0,0,0,1,0,,,,Field goal,1:30,FIELD_GOAL,0.142660305,"(8:48) 3-W.Lutz 30 yard field goal is GOOD, Center-48-M.Fraboni, Holder-9-R.Dixon."
1659,2024_01_DEN_SEA,SEA,DEN,DEN,35,,DEN 35,0,kickoff,0,,,,,,,8,-5,3,8,-5,0.205952777,0.359239101,0.640760899,0.359239101,0.640760899,0,0,0,0,0,0,0,0,0,0,0,0,,,,Touchdown,2:50,TOUCHDOWN,0.205952777,"3-W.Lutz kicks 65 yards from DEN 35 to end zone, Touchback to the SEA 30."
1683,2024_01_DEN_SEA,SEA,DEN,SEA,70,1,SEA 30,10,run,3,,,,,left,tackle,8,-5,3,8,-5,-0.169306615,0.365048766,0.634951234,0.365048766,0.634951234,0,0,0,0,0,0,0,0,0,0,0,0,,,3,Touchdown,2:50,TOUCHDOWN,-0.169306615,"(8:45) 9-K.Walker left tackle to SEA 33 for 3 yards (97-M.Roach, 5-B.Browning)."
1705,2024_01_DEN_SEA,SEA,DEN,SEA,67,2,SEA 33,7,no_play,0,,,,,,,8,-5,3,8,-5,0.761342253,0.365530819,0.634469181,0.365530819,0.634469181,0,0,0,1,0,0,0,0,0,0,0,0,,,,Touchdown,2:50,TOUCHDOWN,0.761342253,"(8:04) (Shotgun) 7-G.Smith pass incomplete short left to 14-D.Metcalf. PENALTY on DEN-2-P.Surtain, Defensive Pass Interference, 6 yards, enforced at SEA 33 - No Play."
1739,2024_01_DEN_SEA,SEA,DEN,SEA,61,1,SEA 39,10,run,-4,,,,,left,guard,8,-5,3,8,-5,-1.123829893,0.384169549,0.615830451,0.384169549,0.615830451,0,0,0,0,1,0,0,0,0,0,0,0,,,-4,Touchdown,2:50,TOUCHDOWN,-1.123829893,"(8:00) 9-K.Walker left guard to SEA 35 for -4 yards (55-C.Barton, 5-B.Browning)."
1761,2024_01_DEN_SEA,SEA,DEN,SEA,65,2,SEA 35,14,pass,12,short,middle,10,2,,,8,-5,3,8,-5,1.011413524,0.343530208,0.656469792,0.343530208,0.656469792,0,0,0,0,0,0,0,0,0,0,0,0,12,12,,Touchdown,2:50,TOUCHDOWN,1.011413524,(7:13) 7-G.Smith pass short middle to 14-D.Metcalf to SEA 47 for 12 yards (2-P.Surtain).
